Code,Definition
3145,Hub   No feedback MTS-sens B
63005,UPS Bypass error
63026,Smoke in the A box
13217,Surge arrestor varistor error
12114,Transfo. room temp. sens. err.
6101,LMU alarm overspeed
3123,Pitch A tracking during opera.
3186,Pitch pos. B measurement error
13207,Grid filter current overload
1111,Intruder warning
13121,Gen. Inv. Communication error
63219,CAN GS- Communication error
63302,IO module  powerdown detected
63502,
3126,Pitch A tracking during stop
10127,Blown yaw brake fuse
12120,Transfo. oil pressure too high
1160,
63503,
1010,Tower emergency contact. err
5111,Gridvolt.<lower limit
2124,Overspeed HCU
63207,CAN IO- Communication error
63308,IO module  powerdown detected
10115,"Stopped, forced yawing  round"
63004,UPS Battery Low
63016,Smoke in the inverter
63305,IO module  powerdown detected
63501,
8172,Prim. Vane forced active
63013,Smoke in transformer room
2132,Gen. bearing (DE) temp. warn.
2134,Gen. bear temp.sensor warn.DE
3124,Pitch B tracking during opera.
3171,"Low oil pressure, blade A"
4111,Gear oil pressure too high/low
9111,"Warning, Brake lining worn"
63206,CAN IO- Communication error
63217,CAN IO- Communication error
13117,Charge main breaker cut out
13138,Power control error
13216,DC-Volt deviation too high
13411,
15189,GrdInv   Unident. SMPS
63401,Grid module SW ver. Conflict
1004,External stop
3111,Hub  Blade C encoder comm.err.
3160,Hub  Valve Feedb. B range Err
3161,Hub  Valve Feedb. C range Err
5110,Gridvolt.<lower limit
13170,Grid filter RES sensor error
14186,GenInv   Unident. SMPS
63311,GS module powerdown detected
63400,I/O module SW ver. Conflict
64001,"Grease level low, main bearing"
3159,Hub  Valve Feedb. A range Err
4105,HS-ROT gearbear. temp. warning
5104,Low lower voltage exceeded
5201,Frequency on mains too low
8170,Prim. Anemometer forced active
9305,Brake acc. press. sensor error
12112,Transformer oil level too low
13301,Inv. cool. w. temp sensor err
14241,GenInv   Delta  DIB +v
15188,GrdInv   Unident. D
15214,"GrdInv:  Undiagnosed,DELTA"
63211,CAN IO- Communication error
63310,Grid module powerdown detected
911,Schedule processing time > Max
923,Software error
1140,"Tower vibration, waiting"
2110,Generator temp.sensor error V
2119,Gen.bear. temp.sensor err. DE
3102,Hub  Current overload
3103,Hub  Blade A valve error
3104,Hub  Blade B valve error
3131,Pitch A range error
3415,
3417,
4125,Gear bear. IMS-ROT sensor war.
6100,RPM sensor error
14189,GenInv   Unident. SMPS
14230,GenInv   User alert 
14302,GenInv   Net Bridge Interl.
15230,GrdInv   User alert 
63024,Smoke in the A box
63104,Temp. in A (left) too high
63112,Temperature in A too high
63150,A temperature sensor error
63169,A temperature sensor error
63203,CAN GM module init. error
63209,CAN Hub Communication error
63216,CAN IO- module init. error
63304,IO module  powerdown detected
8116,No valid wind data
5105,Gridvolt.>upper limit
